company_id,name,priority,cgpa_cutoff,branches,interview_duration,panel_count
C001,Company 1,1,6.78,"['ECE', 'ISE', 'ME', 'CSE']",60,4
C002,Company 2,1,8.19,"['CSE', 'ME', 'EEE', 'CIVIL']",30,2
C003,Company 3,1,7.05,"['ME', 'CSE', 'ISE', 'ECE']",60,2
C004,Company 4,1,7.86,"['EEE', 'ME']",45,4
C005,Company 5,1,8.4,"['CIVIL', 'EEE']",45,2
C006,Company 6,1,6.89,"['CSE', 'CIVIL', 'EEE']",30,3
C007,Company 7,1,8.62,"['ECE', 'CSE', 'EEE', 'CIVIL']",30,3
C008,Company 8,1,6.7,"['CIVIL', 'ME', 'ECE']",60,3
C009,Company 9,1,8.26,"['CIVIL', 'ISE']",45,2
C010,Company 10,1,8.64,"['EEE', 'ECE']",45,2
C011,Company 11,2,8.59,"['ECE', 'CIVIL']",30,3
C012,Company 12,2,7.17,"['CIVIL', 'CSE', 'ISE', 'ECE']",60,3
C013,Company 13,2,6.91,"['ECE', 'ME', 'ISE']",60,1
C014,Company 14,2,8.61,"['ISE', 'CSE']",45,2
C015,Company 15,2,7.17,"['ME', 'ECE']",30,2
C016,Company 16,2,7.75,"['EEE', 'ISE', 'ECE', 'CSE']",30,3
C017,Company 17,2,7.9,"['CIVIL', 'ME', 'EEE']",60,3
C018,Company 18,2,7.4,"['ME', 'EEE']",30,2
C019,Company 19,2,8.65,"['CIVIL', 'ISE']",60,1
C020,Company 20,2,7.99,"['EEE', 'ME', 'CIVIL']",60,2
C021,Company 21,2,8.93,"['CIVIL', 'CSE']",60,2
C022,Company 22,2,8.38,"['ECE', 'CSE', 'CIVIL', 'ISE']",30,3
C023,Company 23,2,6.51,"['CIVIL', 'ECE', 'ISE', 'ME']",30,2
C024,Company 24,2,7.25,"['ME', 'CIVIL', 'ISE', 'CSE']",45,3
C025,Company 25,2,7.85,"['CSE', 'ME', 'ECE', 'ISE']",30,1
C026,Company 26,3,8.82,"['ISE', 'CSE', 'CIVIL']",60,1
C027,Company 27,3,6.71,"['CSE', 'ME', 'ISE']",30,1
C028,Company 28,3,8.87,"['ECE', 'ME']",60,2
C029,Company 29,3,8.91,"['CIVIL', 'ISE', 'ECE', 'ME']",60,2
C030,Company 30,3,7.6,"['EEE', 'CSE', 'ISE', 'ME']",30,2
C031,Company 31,3,6.55,"['ISE', 'ME', 'CIVIL', 'CSE']",30,2
C032,Company 32,3,7.07,"['ECE', 'CSE']",60,1
C033,Company 33,3,7.2,"['ISE', 'ME', 'CIVIL']",60,1
C034,Company 34,3,7.11,"['EEE', 'ISE', 'CSE']",30,2
C035,Company 35,3,7.39,"['EEE', 'CSE', 'ME']",30,2
