company_id,day,start_time,end_time
C001,Day 3,11:00,18:00
C002,Day 1,09:00,17:00
C003,Day 1,11:00,15:00
C003,Day 3,09:00,17:00
C003,Day 2,10:00,18:00
C004,Day 4,10:00,16:00
C004,Day 3,09:00,17:00
C004,Day 1,11:00,17:00
C005,Day 4,11:00,18:00
C006,Day 4,10:00,18:00
C007,Day 2,11:00,18:00
C008,Day 2,10:00,14:00
C009,Day 2,11:00,18:00
C010,Day 3,09:00,15:00
C010,Day 1,09:00,13:00
C011,Day 3,09:00,17:00
C011,Day 1,09:00,17:00
C012,Day 4,10:00,14:00
C012,Day 2,09:00,17:00
C013,Day 1,11:00,18:00
C013,Day 3,10:00,18:00
C014,Day 2,11:00,17:00
C014,Day 4,10:00,18:00
C015,Day 1,10:00,14:00
C015,Day 3,11:00,17:00
C015,Day 2,10:00,16:00
C016,Day 4,09:00,17:00
C016,Day 3,09:00,15:00
C017,Day 2,09:00,17:00
C018,Day 3,09:00,13:00
C018,Day 1,10:00,18:00
C018,Day 4,11:00,15:00
C019,Day 2,11:00,15:00
C019,Day 4,10:00,18:00
C019,Day 3,10:00,16:00
C020,Day 2,11:00,17:00
C021,Day 2,09:00,13:00
C022,Day 2,11:00,15:00
C022,Day 1,09:00,13:00
C022,Day 3,10:00,14:00
C023,Day 4,11:00,18:00
C023,Day 3,11:00,17:00
C023,Day 1,09:00,13:00
C024,Day 4,09:00,13:00
C024,Day 2,10:00,18:00
C025,Day 2,11:00,18:00
C026,Day 3,10:00,18:00
C026,Day 1,11:00,15:00
C026,Day 2,09:00,15:00
C027,Day 2,09:00,13:00
C027,Day 1,11:00,18:00
C028,Day 4,09:00,15:00
C028,Day 1,11:00,18:00
C028,Day 3,09:00,17:00
C029,Day 1,11:00,15:00
C029,Day 4,11:00,18:00
C029,Day 2,09:00,17:00
C030,Day 4,10:00,14:00
C030,Day 3,11:00,18:00
C030,Day 2,10:00,14:00
C031,Day 4,11:00,18:00
C031,Day 2,11:00,18:00
C032,Day 4,09:00,15:00
C033,Day 2,10:00,18:00
C033,Day 1,11:00,17:00
C034,Day 2,11:00,18:00
C034,Day 1,09:00,17:00
C035,Day 1,10:00,18:00
C035,Day 3,09:00,17:00
C035,Day 4,10:00,16:00
