day,start_time,end_time,room_id,student_id,company_id,duration
Day 1,09:00,09:30,R01,S544,C002,30
Day 1,09:00,09:45,R02,S572,C010,45
Day 1,09:00,09:30,R03,S066,C011,30
Day 1,09:00,09:30,R04,S452,C022,30
Day 1,09:00,09:30,R05,S798,C023,30
Day 1,09:00,09:30,R06,S761,C034,30
Day 1,09:30,10:00,R01,S735,C002,30
Day 1,09:30,10:00,R03,S740,C011,30
Day 1,09:30,10:00,R04,S422,C022,30
Day 1,09:30,10:00,R05,S794,C023,30
Day 1,09:30,10:00,R06,S764,C034,30
Day 1,09:45,10:30,R02,S655,C010,45
Day 1,10:00,10:30,R01,S689,C002,30
Day 1,10:00,10:30,R03,S668,C011,30
Day 1,10:00,10:30,R04,S613,C015,30
Day 1,10:00,10:30,R05,S457,C018,30
Day 1,10:00,10:30,R06,S495,C022,30
Day 1,10:00,10:30,R07,S799,C023,30
Day 1,10:00,10:30,R08,S737,C034,30
Day 1,10:00,10:30,R09,S444,C035,30
Day 1,10:30,11:00,R01,S724,C002,30
Day 1,10:30,11:15,R02,S426,C010,45
Day 1,10:30,11:00,R03,S604,C011,30
Day 1,10:30,11:00,R04,S594,C015,30
Day 1,10:30,11:00,R05,S410,C018,30
Day 1,10:30,11:00,R06,S520,C022,30
Day 1,10:30,11:00,R07,S789,C023,30
Day 1,10:30,11:00,R08,S775,C034,30
Day 1,10:30,11:00,R09,S528,C035,30
Day 1,11:00,11:30,R01,S624,C002,30
Day 1,11:00,12:00,R03,S661,C003,60
Day 1,11:00,11:45,R04,S736,C004,45
Day 1,11:00,11:30,R05,S580,C011,30
Day 1,11:00,12:00,R06,S701,C013,60
Day 1,11:00,11:30,R07,S611,C015,30
Day 1,11:00,11:30,R08,S552,C018,30
Day 1,11:00,11:30,R09,S502,C022,30
Day 1,11:00,11:30,R10,S782,C023,30
Day 1,11:00,12:00,R11,S083,C026,60
Day 1,11:00,11:30,R12,S713,C027,30
Day 1,11:00,12:00,R13,S791,C033,60
Day 1,11:00,11:30,R14,S800,C034,30
Day 1,11:00,11:30,R15,S498,C035,30
Day 1,11:15,12:00,R02,S480,C010,45
Day 1,11:30,12:00,R01,S775,C002,30
Day 1,11:30,12:00,R05,S553,C011,30
Day 1,11:30,12:00,R07,S586,C015,30
Day 1,11:30,12:00,R08,S440,C018,30
Day 1,11:30,12:00,R09,S429,C022,30
Day 1,11:30,12:00,R10,S777,C023,30
Day 1,11:30,12:00,R12,S774,C027,30
Day 1,11:30,12:00,R14,S779,C034,30
Day 1,11:30,12:00,R15,S512,C035,30
Day 1,11:45,12:30,R04,S786,C004,45
Day 1,12:00,12:30,R01,S553,C002,30
Day 1,12:00,13:00,R02,S670,C003,60
Day 1,12:00,12:45,R03,S708,C010,45
Day 1,12:00,12:30,R05,S119,C011,30
Day 1,12:00,13:00,R06,S703,C013,60
Day 1,12:00,12:30,R07,S587,C015,30
Day 1,12:00,12:30,R08,S559,C018,30
Day 1,12:00,12:30,R09,S461,C022,30
Day 1,12:00,12:30,R10,S796,C023,30
Day 1,12:00,13:00,R11,S007,C026,60
Day 1,12:00,12:30,R12,S710,C027,30
Day 1,12:00,13:00,R13,S800,C033,60
Day 1,12:00,12:30,R14,S760,C034,30
Day 1,12:00,12:30,R15,S411,C035,30
Day 1,12:30,13:00,R01,S786,C002,30
Day 1,12:30,13:15,R04,S695,C004,45
Day 1,12:30,13:00,R05,S395,C011,30
Day 1,12:30,13:00,R07,S591,C015,30
Day 1,12:30,13:00,R08,S471,C018,30
Day 1,12:30,13:00,R09,S437,C022,30
Day 1,12:30,13:00,R10,S784,C023,30
Day 1,12:30,13:00,R12,S736,C027,30
Day 1,12:30,13:00,R14,S797,C034,30
Day 1,12:30,13:00,R15,S464,C035,30
Day 1,13:00,13:30,R01,S770,C002,30
Day 1,13:00,14:00,R02,S671,C003,60
Day 1,13:00,13:30,R03,S572,C011,30
Day 1,13:00,14:00,R05,S720,C013,60
Day 1,13:00,13:30,R06,S603,C015,30
Day 1,13:00,13:30,R07,S446,C018,30
Day 1,13:00,14:00,R08,S066,C026,60
Day 1,13:00,13:30,R09,S793,C027,30
Day 1,13:00,14:00,R10,S774,C033,60
Day 1,13:00,13:30,R11,S756,C034,30
Day 1,13:00,13:30,R12,S428,C035,30
Day 1,13:15,14:00,R04,S787,C004,45
Day 1,13:30,14:00,R01,S768,C002,30
Day 1,13:30,14:00,R03,S373,C011,30
Day 1,13:30,14:00,R06,S605,C015,30
Day 1,13:30,14:00,R07,S516,C018,30
Day 1,13:30,14:00,R09,S697,C027,30
Day 1,13:30,14:00,R11,S759,C034,30
Day 1,13:30,14:00,R12,S517,C035,30
Day 1,14:00,14:30,R01,S575,C002,30
Day 1,14:00,15:00,R02,S683,C003,60
Day 1,14:00,14:45,R03,S708,C004,45
Day 1,14:00,14:30,R04,S492,C011,30
Day 1,14:00,15:00,R05,S726,C013,60
Day 1,14:00,14:30,R06,S420,C018,30
Day 1,14:00,15:00,R07,S435,C026,60
Day 1,14:00,14:30,R08,S742,C027,30
Day 1,14:00,15:00,R09,S740,C033,60
Day 1,14:00,14:30,R10,S757,C034,30
Day 1,14:00,14:30,R11,S543,C035,30
Day 1,14:30,15:00,R01,S652,C002,30
Day 1,14:30,15:00,R04,S495,C011,30
Day 1,14:30,15:00,R06,S406,C018,30
Day 1,14:30,15:00,R08,S787,C027,30
Day 1,14:30,15:00,R10,S763,C034,30
Day 1,14:30,15:00,R11,S426,C035,30
Day 1,14:45,15:30,R03,S775,C004,45
Day 1,15:00,15:30,R01,S562,C002,30
Day 1,15:00,15:30,R02,S671,C011,30
Day 1,15:00,16:00,R04,S731,C013,60
Day 1,15:00,15:30,R05,S575,C018,30
Day 1,15:00,15:30,R06,S798,C027,30
Day 1,15:00,16:00,R07,S756,C033,60
Day 1,15:00,15:30,R08,S773,C034,30
Day 1,15:00,15:30,R09,S529,C035,30
Day 1,15:30,16:00,R01,S716,C002,30
Day 1,15:30,16:15,R02,S768,C004,45
Day 1,15:30,16:00,R03,S221,C011,30
Day 1,15:30,16:00,R05,S549,C018,30
Day 1,15:30,16:00,R06,S723,C027,30
Day 1,15:30,16:00,R08,S774,C034,30
Day 1,15:30,16:00,R09,S449,C035,30
Day 1,16:00,16:30,R01,S678,C002,30
Day 1,16:00,17:00,R03,S719,C013,60
Day 1,16:00,16:30,R04,S403,C018,30
Day 1,16:00,16:30,R05,S720,C027,30
Day 1,16:00,17:00,R06,S789,C033,60
Day 1,16:00,16:30,R07,S769,C034,30
Day 1,16:00,16:30,R08,S454,C035,30
Day 1,16:15,17:00,R02,S711,C004,45
Day 1,16:30,17:00,R01,S543,C002,30
Day 1,16:30,17:00,R04,S426,C018,30
Day 1,16:30,17:00,R05,S764,C027,30
Day 1,16:30,17:00,R07,S733,C034,30
Day 1,16:30,17:00,R08,S446,C035,30
Day 1,17:00,18:00,R01,S702,C013,60
Day 1,17:00,17:30,R02,S570,C018,30
Day 1,17:00,17:30,R03,S753,C027,30
Day 1,17:00,17:30,R04,S435,C035,30
Day 1,17:30,18:00,R02,S441,C018,30
Day 1,17:30,18:00,R03,S733,C027,30
Day 1,17:30,18:00,R04,S471,C035,30
Day 2,09:00,10:00,R01,S743,C012,60
Day 2,09:00,10:00,R02,S780,C017,60
Day 2,09:00,10:00,R03,S495,C021,60
Day 2,09:00,10:00,R04,S624,C026,60
Day 2,09:00,09:30,R05,S641,C027,30
Day 2,09:00,10:00,R06,S074,C029,60
Day 2,09:30,10:00,R05,S642,C027,30
Day 2,10:00,11:00,R01,S773,C003,60
Day 2,10:00,11:00,R02,S788,C008,60
Day 2,10:00,11:00,R03,S777,C012,60
Day 2,10:00,10:30,R04,S748,C015,30
Day 2,10:00,11:00,R05,S771,C017,60
Day 2,10:00,11:00,R06,S107,C021,60
Day 2,10:00,10:45,R07,S761,C024,45
Day 2,10:00,11:00,R08,S492,C026,60
Day 2,10:00,10:30,R09,S640,C027,30
Day 2,10:00,11:00,R10,S606,C029,60
Day 2,10:00,10:30,R11,S764,C030,30
Day 2,10:00,11:00,R12,S701,C033,60
Day 2,10:30,11:00,R04,S796,C015,30
Day 2,10:30,11:00,R09,S695,C027,30
Day 2,10:30,11:00,R11,S774,C030,30
Day 2,10:45,11:30,R07,S787,C024,45
Day 2,11:00,12:00,R01,S774,C003,60
Day 2,11:00,11:30,R02,S273,C007,30
Day 2,11:00,12:00,R03,S770,C008,60
Day 2,11:00,11:45,R04,S702,C009,45
Day 2,11:00,12:00,R05,S764,C012,60
Day 2,11:00,11:45,R06,S083,C014,45
Day 2,11:00,11:30,R08,S719,C015,30
Day 2,11:00,12:00,R09,S716,C017,60
Day 2,11:00,12:00,R10,S765,C020,60
Day 2,11:00,12:00,R11,S625,C021,60
Day 2,11:00,11:30,R12,S398,C022,30
Day 2,11:00,11:30,R13,S656,C025,30
Day 2,11:00,12:00,R14,S437,C026,60
Day 2,11:00,11:30,R15,S677,C027,30
Day 2,11:00,12:00,R16,S285,C029,60
Day 2,11:00,11:30,R17,S797,C030,30
Day 2,11:00,11:30,R18,S752,C031,30
Day 2,11:00,12:00,R19,S706,C033,60
Day 2,11:00,11:30,R20,S720,C034,30
Day 2,11:30,12:00,R02,S624,C007,30
Day 2,11:30,12:00,R07,S777,C015,30
Day 2,11:30,12:00,R08,S375,C022,30
Day 2,11:30,12:15,R12,S771,C024,45
Day 2,11:30,12:00,R13,S787,C025,30
Day 2,11:30,12:00,R15,S682,C027,30
Day 2,11:30,12:00,R17,S775,C030,30
Day 2,11:30,12:00,R18,S761,C031,30
Day 2,11:30,12:00,R20,S718,C034,30
Day 2,11:45,12:30,R04,S760,C009,45
Day 2,12:00,13:00,R01,S787,C003,60
Day 2,12:00,12:30,R02,S765,C007,30
Day 2,12:00,13:00,R03,S795,C008,60
Day 2,12:00,13:00,R05,S757,C012,60
Day 2,12:00,12:30,R06,S785,C015,30
Day 2,12:00,13:00,R07,S714,C017,60
Day 2,12:00,13:00,R08,S716,C020,60
Day 2,12:00,12:30,R09,S216,C022,30
Day 2,12:00,12:30,R10,S738,C025,30
Day 2,12:00,13:00,R11,S625,C026,60
Day 2,12:00,12:30,R13,S676,C027,30
Day 2,12:00,13:00,R14,S572,C029,60
Day 2,12:00,12:30,R15,S773,C030,30
Day 2,12:00,12:30,R16,S764,C031,30
Day 2,12:00,13:00,R17,S725,C033,60
Day 2,12:00,12:30,R18,S694,C034,30
Day 2,12:15,13:00,R12,S800,C024,45
Day 2,12:30,13:00,R02,S426,C007,30
Day 2,12:30,13:15,R04,S774,C009,45
Day 2,12:30,13:00,R06,S711,C015,30
Day 2,12:30,13:00,R09,S180,C022,30
Day 2,12:30,13:00,R10,S768,C025,30
Day 2,12:30,13:00,R13,S630,C027,30
Day 2,12:30,13:00,R15,S737,C030,30
Day 2,12:30,13:00,R16,S756,C031,30
Day 2,12:30,13:00,R18,S708,C034,30
Day 2,13:00,14:00,R01,S781,C003,60
Day 2,13:00,13:30,R02,S419,C007,30
Day 2,13:00,14:00,R03,S782,C008,60
Day 2,13:00,14:00,R05,S744,C012,60
Day 2,13:00,13:30,R06,S745,C015,30
Day 2,13:00,14:00,R07,S718,C017,60
Day 2,13:00,14:00,R08,S740,C020,60
Day 2,13:00,13:30,R09,S260,C022,30
Day 2,13:00,13:45,R10,S793,C024,45
Day 2,13:00,13:30,R11,S699,C025,30
Day 2,13:00,14:00,R12,S668,C026,60
Day 2,13:00,14:00,R13,S267,C029,60
Day 2,13:00,13:30,R14,S792,C030,30
Day 2,13:00,13:30,R15,S755,C031,30
Day 2,13:00,14:00,R16,S726,C033,60
Day 2,13:00,13:30,R17,S713,C034,30
Day 2,13:15,14:00,R04,S606,C009,45
Day 2,13:30,14:00,R02,S495,C007,30
Day 2,13:30,14:00,R06,S725,C015,30
Day 2,13:30,14:00,R09,S240,C022,30
Day 2,13:30,14:00,R11,S788,C025,30
Day 2,13:30,14:00,R14,S770,C030,30
Day 2,13:30,14:00,R15,S783,C031,30
Day 2,13:30,14:00,R17,S721,C034,30
Day 2,13:45,14:30,R10,S760,C024,45
Day 2,14:00,15:00,R01,S793,C003,60
Day 2,14:00,14:30,R02,S379,C007,30
Day 2,14:00,14:45,R03,S784,C009,45
Day 2,14:00,15:00,R04,S745,C012,60
Day 2,14:00,14:30,R05,S762,C015,30
Day 2,14:00,15:00,R06,S765,C017,60
Day 2,14:00,15:00,R07,S739,C020,60
Day 2,14:00,14:30,R08,S254,C022,30
Day 2,14:00,14:30,R09,S671,C025,30
Day 2,14:00,15:00,R11,S495,C026,60
Day 2,14:00,15:00,R12,S770,C029,60
Day 2,14:00,14:30,R13,S781,C031,30
Day 2,14:00,15:00,R14,S702,C033,60
Day 2,14:00,14:30,R15,S699,C034,30
Day 2,14:30,15:00,R02,S395,C007,30
Day 2,14:30,15:00,R05,S703,C015,30
Day 2,14:30,15:00,R08,S312,C022,30
Day 2,14:30,15:15,R09,S780,C024,45
Day 2,14:30,15:00,R10,S679,C025,30
Day 2,14:30,15:00,R13,S763,C031,30
Day 2,14:30,15:00,R15,S726,C034,30
Day 2,14:45,15:30,R03,S595,C009,45
Day 2,15:00,16:00,R01,S788,C003,60
Day 2,15:00,15:30,R02,S394,C007,30
Day 2,15:00,16:00,R04,S793,C012,60
Day 2,15:00,15:30,R05,S728,C015,30
Day 2,15:00,16:00,R06,S747,C017,60
Day 2,15:00,16:00,R07,S724,C020,60
Day 2,15:00,15:30,R08,S762,C025,30
Day 2,15:00,16:00,R10,S475,C029,60
Day 2,15:00,15:30,R11,S753,C031,30
Day 2,15:00,16:00,R12,S714,C033,60
Day 2,15:00,15:30,R13,S684,C034,30
Day 2,15:15,16:00,R09,S767,C024,45
Day 2,15:30,16:00,R02,S421,C007,30
Day 2,15:30,16:15,R03,S562,C009,45
Day 2,15:30,16:00,R05,S736,C015,30
Day 2,15:30,16:00,R08,S745,C025,30
Day 2,15:30,16:00,R11,S784,C031,30
Day 2,15:30,16:00,R13,S712,C034,30
Day 2,16:00,17:00,R01,S789,C003,60
Day 2,16:00,16:30,R02,S708,C007,30
Day 2,16:00,17:00,R04,S737,C012,60
Day 2,16:00,17:00,R05,S724,C017,60
Day 2,16:00,17:00,R06,S787,C020,60
Day 2,16:00,16:45,R07,S764,C024,45
Day 2,16:00,16:30,R08,S736,C025,30
Day 2,16:00,16:30,R09,S793,C031,30
Day 2,16:00,17:00,R10,S711,C033,60
Day 2,16:00,16:30,R11,S691,C034,30
Day 2,16:15,17:00,R03,S763,C009,45
Day 2,16:30,17:00,R02,S671,C007,30
Day 2,16:30,17:00,R08,S784,C025,30
Day 2,16:30,17:00,R09,S750,C031,30
Day 2,16:30,17:00,R11,S692,C034,30
Day 2,16:45,17:30,R07,S798,C024,45
Day 2,17:00,18:00,R01,S777,C003,60
Day 2,17:00,17:30,R02,S489,C007,30
Day 2,17:00,17:45,R03,S765,C009,45
Day 2,17:00,17:30,R04,S737,C025,30
Day 2,17:00,17:30,R05,S758,C031,30
Day 2,17:00,18:00,R06,S736,C033,60
Day 2,17:00,17:30,R08,S724,C034,30
Day 2,17:30,18:00,R02,S553,C007,30
Day 2,17:30,18:00,R04,S728,C025,30
Day 2,17:30,18:00,R05,S771,C031,30
Day 2,17:30,18:00,R07,S697,C034,30
Day 3,09:00,10:00,R01,S772,C003,60
Day 3,09:00,09:45,R02,S622,C004,45
Day 3,09:00,09:45,R03,S273,C010,45
Day 3,09:00,09:30,R04,S720,C016,30
Day 3,09:00,09:30,R05,S367,C018,30
Day 3,09:00,10:00,R06,S168,C028,60
Day 3,09:00,09:30,R07,S617,C035,30
Day 3,09:30,10:00,R04,S800,C016,30
Day 3,09:30,10:00,R05,S396,C018,30
Day 3,09:30,10:00,R07,S616,C035,30
